노선	캐릭터명	로마자	나이	실제 노선 개통년도(최초 기준)	실제노선 착공연도	실제 노선 계획시작연도	생일(최초 개통일과 같음)	성별	漢字名	読み仮名	日本名	출신지	학력(요약)	현재(직/학)	성우(일본)	성우(한국)	성격 코어	강점(작품에서 쓰기)	약점/결함(개그·갈등)	코믹 트리거(버튼)	러닝개그/소품	말투/대사 결	팀 포지션	호칭 특이사항	특수 설정	학업성향(요약)	과목별 등급(내신 기준)	종합내신(추정)	학업유형/특기	철덕레벨(덕력)	성우드립(메타/러닝개그)
1호선	고나미	go nami	26	1984.12.2	1980	1978	12월 2일(1호선 최초 개통일)	여	高娜美	takasaki nami	高崎娜美	중구 오석동	리사초 → 효빈중 → 효빈동고 → 효빈대학교(교통대학 철도운전학과)	효빈교통공사 기관사	세토 아사미	박지윤	원칙·안전 최우선 / 프로 자존심 / 과묵한 리더 / ‘교육’으로 정리 / 직원(정색)↔덕질(폭주) 대비	현장 신뢰도 최상 · 위기 대응 안정적 · 규정/안전 기준 제시 · 팀의 ‘기준점’	완벽주의로 분위기 숨막히게 만들 수 있음 · ‘덕질 트리거’ 뜨면 통제력 순간 약화(코믹)	신형 전동차/희귀 편성 · 전동음/도어음/경적 · 방송 멘트/표출 업데이트 · 편성번호/차량번호 · 기관실/장비 · ‘그냥 예뻐서’ 발언 · 철도 밈	‘특별 교육’ 만능 해결 · 녹음/기록 집착(도어음/진입음) · 정색하다가 0.3초 뒤 덕질 폭주	단문·결론형(‘안 돼.’ ‘규정대로.’) / 교육 모드: ‘지금부터 특별 교육.’	현장·운행·안전 기준점(프로 FM)	연하/학생에게는 이름·‘학생’ 호칭이 자연 · 공사 내부에선 선후배 구분	코믹 강화: ‘직원 모드 ↔ 철덕 사냥개 모드’ 대비가 핵심	매뉴얼/독해·정확성 최상, 인문·사회 강세 + 물리 이해(운전 적성)	국어 1~2 / 영어 2~3 / 수학 1~2 / 과학 1~2 / 사회 2~3	1.8~2.3	탐구형+규칙형+기술형; 운전 적성·지시 이해·정확성 최강	SSS (인간계 최강 철덕)	"- '세토 아사미 톤'으로 안전방송하면 승객 자세가 자동으로 고쳐짐
- 누가 반말하면 저음으로 '녹음실 경고'가 튀어나옴
- 하루빈이 몰래 안내방송 파일을 ASMR 폴더에 저장해둠"
2호선	하루빈	Ha rubin	24	1989.2.3	1985	1981	2월 3일(2호선 최초 개통일, 여담으로 2호선 연장들은 모두 2월3일에 맞춰서 개통했다는 특징이 있다.)	여	夏累彬	natsurui akira	夏累彬	북구 고송동	고송초 → 소요중 → 효빈종합고 → 효빈대학교(교통대학 철도운영학과)	효빈교통공사 역무원	우치다 마아야	김선혜	붙임성 MAX / 능글·말빨 / 장난+배려 / 관찰력(승객·상황 읽기) / 위험 시 ‘직원 톤’으로 전환	민원 완충·갈등 중재 · 현장 안내/소통 최강 · 팀 분위기 메이커	장난이 선 넘기 직전까지 가는 편 · TMI/말이 길어질 때가 있음	초면/카메라/덕후 냄새 · 밈·유행 · 안내방송 따라하기 · 누가 정색하면 더 장난치다 혼남 · 위험상황엔 급반전(프로)	별명 제조기 · 숨덕 탐지기(특히 라세나) · 호칭 장난(단 ‘라세나 언니’는 장난으로만)	친근·속도감(‘그치~?’ ‘맞죠~?’) / 칭찬→공감→규칙→농담→홍보로 대화 완결	관계·민원·분위기 조율(인싸 운영자)	공사 내부/대외: 선배님/님 기본, 사석에서 이름/언니로 전환 가능	‘웃는데 현장 통제’가 개그 엔진(귀여운 통제)	언어·인문 균형형, 외국인 응대 강점, 수학이 약점	국어 1~2 / 영어 1~2~2 / 사회 1~2~2 / 과학 2~3 / 수학 4~5	2.4~2.9	문과형 언어·감각형; 대인 커뮤니케이션 강점	A (열차·역무 실전 경험 덕후)	"- 안내방송이 너무 아이돌 MC 느낌이라 민원보다 팬이 생김
- 장난칠 때 '마아야 모드' 켜면 표정만으로 상황 수습
- 노아가 회의록 읽다가 하루빈 멘트 들으면 템포가 무너짐"
3호선	박라미	park Rami	21	1994.2.9	1990.2(계획이 빨리된이유는 사능동의 몰락을 막으려고 했던 철도 전문가 민주연과 교통관련 계열 근로자이자 시민 운동가 원시현이 최적의 노선도를 미리 구성해놨던 점으로 인해 그것을 통해 바로 착공을 시작)	1990.1	2월 9일(3호선 최초개통일, 개통자체는 4호선 보다 빠르지만, 캐릭터 나이는 다로나보다 어린이유는 4호선 계획이 3호선 보다 먼저나왔기 때문이다. 3호선은 공항 이전 계획때문에 일찍 개통한 노선이다.)	여	朴喇美	sunao rami	朴喇美	동구 사가당동	사가당초 → 중수여중 → 중수여고 → 엽월대학교(사회과학대학 경영학과)	대학교 2학년	이시카와 유이	이새아	감성·연출 집착 / 콘텐츠 제작자 / 친화력 / 즉흥 추진 / ‘오늘만’ 병 / 브랜딩 감각	홍보·포스터·사진·다꾸 등 결과물 생산 · 사람을 움직이는 추진력 · 팀 감정선 담당	즉흥 폭주로 안전선/시간표를 위협 · 감성 과몰입 · 책임 회피가 아니라 ‘우선순위 뒤집힘’	노을·비·빛(골든아워) · 희귀 편성/신형 · 디자인(역명판/스티커) · ‘오늘만 찍을 수 있어’라는 상황	(확정) 1학년 때 열차사진 찍느라 수업째서 F · ‘F는 Framing의 F’ 밈 · 학사경고도 다꾸 재료	감탄→공유→연출 지시→카피 한 줄(‘이건 도시의 맥박…’)	홍보/연출/감성 엔진(콘텐츠 담당)	연상에게는 언니, 연하에게는 이름+아/야(친함)	코믹 90: ‘공부 가능하지만 덕질이 수업을 이기는’ 구조	이해 중심의 평균~중상; 콘텐츠/사진 감각 강함	전반 3등급대(국/영/수/탐 평균 3)	3.0 전후	실무·콘텐츠 감각형; 스냅/풍경 촬영 역량	B+ (생활철도형·탑승 덕후)	"- 발표할 때 '유이 내레이션' 모드 → 교수님이 조용해짐(하지만 F 전적)
- 감성 대사 치면 주변이 '갑자기 주인공'이라 놀림
- 카메라만 켜면 목소리 톤이 자동으로 다큐처럼 바뀜"
4호선	다로나	Da rona	22	2003.3.5	1996	1989	3월 5일	여	多露娜	tadano rona	多田野露娜	안천구 이자동	이자초 → 이자중 → 창전상업고(철도산업과)	효빈교통공사 산업관리직(고졸)	타네자키 아츠미	윤아영	불안→체크리스트 / FM·원칙 / 내향·배려 / 공문체 언어 / 위기 때 각성(침착)	리스크 감지 · 절차/안전 설계 · 사고 시 오히려 침착한 대응 머신	변경/변수가 생기면 불안 폭주 · 표현이 딱딱해 오해받기 쉬움	‘괜찮겠지’라는 말 · 계획 변경 · 안전선/무단 촬영 · 문서/양식 보면 눈 반짝 · 칭찬받으면 ‘정상입니다’	체크리스트/클립보드 · ‘부적절합니다’ 공문체 감정표현 · 밴드/핫팩 챙기는 조용한 배려	‘~하시기 바랍니다’ ‘~로 판단됩니다’ / 위험요소→조치→(조용히)배려	리스크/절차/안전 통제(FM)	공사 내부에선 선배님/님, 사석은 언니/이름으로 완화 가능	‘불안이 많아서 FM이 된 사람’ + ‘사고나면 제일 유능’ 대비	수학·과학 강점(기계/운영 이해), 사회탐 약함, 규정 암기형	수학 2~3 / 과학 2~3 / 국어 3~4 / 영어 3~4 / 사회 4~5	3.0~3.7(과목 편차 큼)	규칙/암기·매뉴얼형; 안전 규정 암기 속도 1위	C (규정·매뉴얼파)	"- 공문체 읽을 때 발음이 너무 또렷해서 'AI 안내방송' 소리 들음
- 감정 올라오면 톤이 순식간에 바뀌어 하루빈이 '성우 바뀜' 드립
- 체크리스트 읽는 속도가 랩처럼 빨라짐"
5호선	미소하	Mi soha	20	2011.5.8	2005(윤대환 시기에 공정률 20% 상황에서 공사중단(윤대환의 버스회사 살리기 위한 폭정),2008년 말 재개)	2004	5월 8일	여	微笑夏	bisyou natsu	微笑夏	서구 당선동	성내초 → 사복중 → 복지여자고 → 효빈대학교(사회복지정책)	대학교 1학년 · 철도복지 관련 학교 사업 참여	쿠노 미사키	김채하	따뜻한 힐러/상담가 / 갈등 조정 / 사람 중심 / 조용한 단단함 / (광기) 정책분석의 신	공감·조정 능력 · 복지/서비스 관점 설계 · 위기 때 ‘부드럽게 제압’	남 챙기다 자기 체력/감정은 늦게 처리(후폭풍) · 정책 모드 들어가면 밥/잠 잊음	예산·규정·사각지대·성과지표·민원·접근권 · ‘규정상 안 됩니다’ 한마디	상냥한 얼굴로 질문 폭격(근거/지표) · ‘정책분석의 신’(효빈광역시장급) · 새벽까지 로직모형/평가표	상냥하지만 단호(‘그건 안 돼요’) / 정책 모드: ‘문제정의부터 할까요?’	복지/서비스 설계 + 조정자(정책신)	또래(20)끼리는 이름도 가능, 연하(라세나/유리아)에게는 ‘~야’	‘힐러 ↔ 정책광견’ 2모드: 따뜻함으로 압살	국어·사회 상위 + 수학/통계 센스(의외 이과형); 영어가 약점	국어 1~2 / 사회 1~2 / 수학 1~2 / 과학 2 / 영어 3~4	2.1~2.5	분석형·통계형; 정책분석/지표 설계 강점	A– (조용한 전문직형 덕후)	"- 귀여운 톤으로 '근거는요?' 해서 별명이 '귀여운 협박'
- 정책분석 각성하면 발음이 더 또렷해져 다들 발표회인 줄 앎
- 노아가 옆에서 '지금 녹음해도 되겠다'라고 속삭임"
6호선	라세나	La sena	19	2016.4.3	2011.4.5	2006	4월 3일	여	羅世娜	kiyora sena	清羅世娜	북구 중수동	중수초 → 중수여중 → 중수여고	고3 · 보건계열대학 진학 예정	키토 아카리	김율	시간표형 계획러 / 현실주의 츳코미 / 책임감 과다 / 숨덕(부정형) / 정리벽	일정·우선순위·동선 최적화 · 빠른 정리/판단 · 팀 폭주 제동	즐거움을 스스로 허락 못 함(죄책감 루프) · 계획 깨지면 멘탈 흔들 · 부정하다 자폭	신형/정보/TMI 나오면 반응 · ‘같은 성우’ 드립 · 폴더/파일명으로 숨기려다 더 들킴	숨김 폴더: ‘자료/참고/수면/힐링’(겉)→버전비교/증거/아카이브(속) · 금지단어 메모 · (애니) 니지동 카나타 오시	단문+결론(‘시간 없어요.’ ‘그건 아니고요.’) / 부정 멘트: ‘확인만 한 거예요.’	시간표/현실 제동장치 + 숨덕 개그 엔진	두 번째 막내(19). 라세나를 ‘언니’로 부를 수 있는 건 유리아(17)만. 나머지는 라세나가 ‘언니/선배’ 사용	애니 설정: 러브라이브 니지동 ‘카나타 오시’ + (설정상) 라세나 성우=카나타 성우 → 성우드립 러닝개그	전과목 안정형 2~3등급; 생명과학/보건 적성 강함, 꾸준형	전과목 2~3(특히 생명/보건계열 강점)	2.6~3.2	근면·관리형; 자료정리/오답노트 집착	B– (부정하지만 반짝이는 숨덕)	"- 카나타 오시인데 'CV가 같다는 설정' 때문에 '자기 자신 오시'라고 놀림
- 졸릴 때만 카나타톤이 된다는 소문(부정하다가 자폭)
- '수면/힐링' 단어 나오면 하루빈이 성우드립 버튼을 눌러버림"
7호선	임세정	lim Sejeong	30	1931.4.5(효빈전차 개업시기)	1928말	1926	4월 5일	여	林洗正	hayashi sei	林洗正	중구 중보로	효빈초 → 내조중 → 다판고 → 효빈과학대(2년제 철도운영)	효빈교통공사 역무원(현장 베테랑)	스즈키 아이나	윤미나	현장 대장 / 판단 빠름 / 직설·단호 / 혼잡·안전·시간 동시 관리 / 훈육+보호(티 안 냄)	혼잡관리·통제 최강 · 사건 터지면 일사천리 수습 · 후배 실전 교육	표현이 거칠어 오해받기 쉬움(근데 마음은 챙김) · ‘설명은 나중’이라 말싸움엔 약간 불리	덕후/학생이 통로 막으면 즉시 컷 · 낭만/감성 멘트 나오면 현실 한 방 · 화낼수록 목소리 낮아짐	‘유리아.’ 이름 한 번으로 제압 · ‘낭만은 좋고, 미끄럼 주의.’ 류 현실 압도	짧고 명령형(‘뒤로.’ ‘멈춰.’ ‘설명은 나중에.’)	통제/혼잡관리/위기 수습 최종보스(현장)	공사 내부 선배님. 연하(학생)에게는 ‘~학생/이름’	허당이 아니라 ‘현실 압도’로 웃기는 타입	학업보다는 현장 실무형(전문대 2년제, 실무로 성장)	(정보 없음) 실무 적합형	(정보 없음)	실무/현장 통제형; 혼잡·안전 운영 감각 최상	A– (현장형 전차·운영 덕후)	"- 단호한 한 마디가 무대 MC 마이크처럼 울려 승강장이 정숙해짐
- 기합 한 번 넣으면 사람들이 '라이브 시작?' 하고 착각
- 라미가 '세정 언니 멘트는 오디오 드라마'라며 과몰입"
7호선	임세하	lim Seha	20	2010.3.5(공영화)	2009	2005(공영화 논의및 시설 보수 시예산 일부 반영)	3월 5일	여	林洗河	hayashi araka	林洗河	중구 중보로	효빈초 → 중수여중 → 중수여고 → 효빈대학교(기계공학)	대학교 1학년(철도기계 관심)	다테 사유리	방연지	손으로 덕질하는 공대 철덕 / 소리·진동 추론 / TMI 폭주 / 승부욕·증명 욕구 / 칭찬에 약함	기계/설비 관찰·추론 · 문제 해결(손기술) · 현장형 학습	‘고칠 수 있다’ 자신감 과다로 한 발 더 나감(안전선) · 사람 감정은 어렵다(뚝딱)	이상 소음/진동 · 누가 틀린 TMI 말하면 즉시 정정 · 유리아가 버튼 만지려 하면 제일 크게 말림	가방에 공구/케이블타이/테이프(‘만약’) · 칭찬받으면 귀 빨개짐 · 언니(임세정) 말만 조건반사로 즉시 듣기	결론부터(‘그거 틀렸는데.’) / 용어 섞임(‘마찰/베어링/패드…’)	기계·차량/설비 관찰자 + 유리아 사고 방지 1차 방어선	연상(라미/다로나/하루빈/고나미/세정)에게 언니/선배. 연하(라세나/유리아)는 이름	‘유능해서 더 웃김’(바보화 금지)	수학·과학 2등급대 공대형; 기계/구동계 이해 강함	수학 2 / 과학 2 / 국어 3 / 영어 3	2.6~3.0	공학적 문제해결형; 모터/제동/감속기 분석	S (메카닉·차량·성능 덕후)	"- 공대 TMI 하다가 갑자기 귀여운 리액션이 튀어나와 '사유리 버그' 드립
- 고장 소리 듣고 중얼거리면 '성우 테스트 중?'이라고 놀림
- 칭찬 받으면 목소리 톤이 한 단계 올라가서 다 들킴"
8호선	유리아	Yu ria	17	2024.3.4	2020	2017	3월 4일	여	柳利娥	yanagi ria	柳利娥	남구 평당동	상원대초 → 평당중 → 효빈기계공업고(철도관리과)	고1(철도 특성화)	사이토 슈카	장예나	호기심 폭발 막내 / ‘한 번만요’ / 칭찬에 성장 가속 / 겁은 있지만 도전 / 밤에 복습하는 성장형	현장형 흡수력 · 의리/따름(특히 라세나) · 꿈(철도 진로) 뚜렷	손이 먼저 가서 사고 유발 · 금지표지에 더 궁금해짐	버튼/레버/패널 · 금지표지 · 무전기 소리 · 카메라/촬영 · ‘나도 해볼래!’	루프: 허락→실행→들킴→도망→사과→조금 성장 · 임세정이 ‘유리아.’ 한 번 부르면 정지	리액션 큼(‘헉’ ‘대박’) · 솔직	사건 트리거 + 성장 장치(막내)	유리아만 라세나(19)를 ‘라세나 언니’로 부름(합법). 나머지는 언니/선배	‘사고뭉치’가 아니라 ‘성장하는 사고뭉치’	전과목 3~4등급의 성장형; 산업/기계/철도 흥미 강함	전과목 3~4(특성화고 적응 빠름)	3.3~4.0	성장형; 최신 철도기술(AGT) 흡수 빠름	B (철도 진학 준비형, AGT 관심)	"- 리액션이 너무 쨍해서 별명이 '슈카 텐션'
- '한 번만요!' 할 때 목소리 톤이 캐치해서 어디서든 들킴
- 혼나고 사과할 때만 갑자기 청순 톤(연기냐고 놀림)"
빈효선	전노아	Jeon Noa	20	2017.5.2	2010.4.12	2004	5월 2일	여	田露娥	tanaka noa	田中露娥	안천구 당가동	당가초 → 중수여중 → 중수여고 → 평안명대학교(행정학)	대학교 1학년(도시행정/광역전철 사업 참여)	마에다 카오리	김현지	정리·요약·절차 / 시민·현장에 약함 / 조용한 승부욕 / (모드) 광견 추진력 / 대학생 새내기 대비	사업계획/결재/조례·예산 프레임 · 회의 압축 정리 · 불가능을 전례로 바꾸는 추진	생활은 새내기 허당(학식 메뉴 못 고름, LMS 마감 멘붕) · 밥/잠 후순위	‘예산 없다/전례 없다/규정상 안 됨/협의 오래’ · 민원/광역연계 키워드 · 조별과제 팀장 자동 당첨	광견 모드(속도+압박 질문) · 카페에서도 사업계획서 목차 뽑음 · 회의 끝나고 ‘아 배고파…’	사실확인→쟁점정리→선택지→액션 확정(회의록 말투)	광역연계/사업화(예산·조례·결재) 담당	또래는 이름 호칭 가능, 공사 선배들에게는 선배님. 라세나(19)가 ‘노아 언니’ 가능	(성우 이미지 활용) ‘어뮤즈의 광견’ = 세계관 별명/모드명으로만 사용	국어·사회 강점(행정/정책 적성), 수학·과학은 무난	국어 1~2 / 사회 1~2 / 수학 3~4 / 과학 3~4	3.0~3.6	성실·정리형; 요약/논리 구성/행정 문서화	C~A– (행정·정책 전문 철덕 성향)	"- 회의 시작하면 '마에다 MC 톤'으로 진행, 결론이 라이브처럼 빠름
- '전례 없음' 들으면 광견 모드로 톤이 낮아짐(다들 녹음 버튼 찾음)
- 캠퍼스에선 학식 앞에서만 목소리 힘 빠지는 갭모에"
